Date : 2025-08-28 00:51:56
Directory : /home/mario/Desktop/Masterarbeit/OptiXApp/src
Total : 91 files,  10002 codes, 1501 comments, 1933 blanks, all 13436 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/CMakeLists.txt                 | CMake    |         13 |          0 |         15 |         28 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/antenna.cpp                    | C++      |        147 |          0 |         29 |        176 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/antenna.hpp                    | C++      |         28 |          0 |         10 |         38 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/many_worlds.cpp                | C++      |        128 |          0 |         23 |        151 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/many_worlds.hpp                | C++      |         26 |          0 |         10 |         36 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/many_worlds_renderer.cpp       | C++      |         29 |          0 |          9 |         38 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/many_worlds_renderer.hpp       | C++      |         18 |          0 |         12 |         30 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/mesh.cpp                       | C++      |         69 |          0 |         17 |         86 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/mesh.hpp                       | C++      |         21 |          0 |          8 |         29 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/pybindmwir.cpp                 | C++      |         21 |          0 |          9 |         30 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/renderer.cpp                   | C++      |         20 |          0 |         10 |         30 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/renderer.hpp                   | C++      |         15 |          0 |         10 |         25 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/scene.cpp                      | C++      |        139 |          0 |         25 |        164 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/scene.hpp                      | C++      |         29 |          0 |         11 |         40 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/signal.cpp                     | C++      |         70 |          0 |         17 |         87 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/pybindmwir/signal.hpp                     | C++      |         21 |          0 |         11 |         32 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/opengl/buffer.hpp                   | C++      |        242 |          0 |         34 |        276 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/opengl/context.hpp                  | C++      |        193 |          1 |         20 |        214 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/opengl/shader.hpp                   | C++      |        487 |          1 |         84 |        572 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/opengl/texture.hpp                  | C++      |          9 |          0 |          4 |         13 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/opengl/vertex_array.hpp             | C++      |        229 |          0 |          7 |        236 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/context.hpp                   | C++      |         87 |          0 |         13 |        100 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/module.hpp                    | C++      |         35 |          0 |          8 |         43 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/pipeline.hpp                  | C++      |         47 |          0 |          8 |         55 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/program_group.hpp             | C++      |         29 |          0 |          5 |         34 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/sbt_record.hpp                | C++      |         59 |          0 |         14 |         73 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/torch.hpp                     | C++      |         55 |          0 |         23 |         78 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/utils/optix/utils.hpp                     | C++      |        129 |          1 |         18 |        148 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/CMakeLists.txt                     | CMake    |         28 |          0 |          6 |         34 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/bindings.hpp                       | C++      |          2 |          0 |          3 |          5 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/camera.cpp                         | C++      |        199 |          0 |         19 |        218 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/camera.hpp                         | C++      |         47 |          0 |          9 |         56 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/gl_renderer.cpp                    | C++      |         84 |         10 |         25 |        119 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/gl_renderer.hpp                    | C++      |         32 |          0 |         10 |         42 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/main.cu                            | CUDA C++ |         61 |          0 |         16 |         77 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/modules/render_module.cu           | CUDA C++ |         81 |          0 |         17 |         98 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/modules/render_module.h            | C++      |         23 |         30 |          4 |         57 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/modules/utils.h                    | C++      |         79 |         46 |         18 |        143 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/modules/vec_math.h                 | C++      |      1,683 |        631 |        305 |      2,619 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/optix_renderer.cu                  | CUDA C++ |        110 |          0 |         30 |        140 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/optix_renderer.hpp                 | C++      |         44 |          0 |         12 |         56 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/scene.cpp                          | C++      |         78 |          0 |         10 |         88 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/scene.hpp                          | C++      |         18 |          0 |          7 |         25 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/bindings                    | C++      |          7 |          0 |          1 |          8 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/deferred.frag               | GLSL     |         34 |          0 |         15 |         49 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/deferred.vert               | GLSL     |          7 |          0 |          3 |         10 |
| /home/mario/Desktop/Masterarbeit/OptiXApp/src/viewer/shader/prepass.frag                | GLSL     |          9 |          0 |          6 |         15 |
